frame_id,path,mpe_mm,moe_deg,solver_success,nfev,optimality
1329604635582975,A,68.455196213898,1.0386958004058646,baseline,,
1329604635582975,G,67.37305451558778,1.0269766188144138,True,4,5.480469566858223e-06
1329604635582975,D,66.04960459900794,1.0247489396881797,True,23,0.0060934489845233695
1329604635582975,U,68.38978775977112,1.0209813667700456,True,19,0.0052937147492416155
1329604635582975,W,66.09296364126834,1.0250663828136106,True,15,0.00536788022605557
1329604635582975,C,64.31058327690425,0.9943652968890189,True,46,866.6654245365783
1329604636982984,A,111.27859735721552,0.688485915878341,baseline,,
1329604636982984,G,78.88203694864085,0.6137515586094059,True,4,8.343589749445638e-06
1329604636982984,D,74.68343063257467,0.5995556861274731,True,26,0.0060511639230034775
1329604636982984,U,69.31810785012493,0.5828640058350459,True,26,0.017903863722320387
1329604636982984,W,74.88446125697747,0.600159645356602,True,27,0.03060878372376994
1329604636982984,C,98.01594118876334,0.6646336935866194,True,80,0.09254278813786479
1329604637982961,A,55.738858344348046,0.29891513869396935,baseline,,
1329604637982961,G,45.289575193260404,0.23658288050116277,True,4,3.211852209455061e-05
1329604637982961,D,47.40277282284713,0.2417023908031754,True,12,0.01112698459672696
1329604637982961,U,44.88337251689558,0.23762230050923402,True,13,0.010561947935515254
1329604637982961,W,47.29266246760299,0.24147222066000917,True,14,0.010307738997765792
1329604637982961,C,72.22771098102449,0.27736232144746437,True,38,0.10586779383473753
1329604639582940,A,186.85675267128912,0.6912988592606232,baseline,,
1329604639582940,G,191.5792626850235,0.6915393203568151,True,4,2.5784802671985903e-06
1329604639582940,D,189.6294329464427,0.6869581074334672,True,10,0.056330062372310995
1329604639582940,U,192.78956223875926,0.6914522761841049,True,9,0.008296206353139449
1329604639582940,W,189.73396540498817,0.6872643399118061,True,8,0.011966374650177728
1329604639582940,C,174.6901238666379,0.648509817814901,True,27,0.02227556558992588
1329604640582945,A,16.211266581101565,0.7696303406385869,baseline,,
1329604640582945,G,17.94016964967884,0.7605797552300786,True,3,5.705116940331488e-06
1329604640582945,D,19.119171175802745,0.7588290865273064,True,18,0.010351488364212581
1329604640582945,U,21.23507426440079,0.7445586773564017,True,8,0.012826676523888561
1329604640582945,W,19.065388733474805,0.7588657180815715,True,6,0.008456603491388288
1329604640582945,C,29.539308611321385,0.7330798208607081,True,34,0.4554733193971987
1329604641982945,A,111.48106773949637,0.6377628245188695,baseline,,
1329604641982945,G,117.51215753402816,0.6338910099413362,True,4,3.8827717322749374e-06
1329604641982945,D,116.77551984377791,0.6259634377594562,True,6,0.010845366858185157
1329604641982945,U,116.72464512952806,0.6253010543229578,True,6,0.008450860870677427
1329604641982945,W,116.85290743856811,0.6265500407331078,True,7,0.0072840598288452674
1329604641982945,C,111.23933265061635,0.6137365251615918,True,47,0.07355557594163613
1329604642982934,A,83.79936019378678,1.0289184830898501,baseline,,
1329604642982934,G,93.40582729745185,1.0269032808171448,True,4,7.2293758509793785e-06
1329604642982934,D,93.09822793756244,1.0208915345371432,True,5,0.009635224374659013
1329604642982934,U,93.8574095389104,1.0214264304200538,True,5,0.01089618151407908
1329604642982934,W,93.09916366532954,1.0213862842433847,True,6,0.001168851007356123
